date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:52	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6525a490-c3ea7aab866a7ad;gz%22	https://scalaa.com/robots.txt		(from )
18:25:52	5937/5937	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2023:25:52%20GMT	https://scalaa.com/home/	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/home/index.html	(from )
18:25:53	28723/28723	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2023:25:53%20GMT	https://scalaa.com/projects/	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/projects/index.html	(from )
18:25:53	7244/7244	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2023:25:53%20GMT	https://scalaa.com/about/	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/about/index.html	(from )
18:25:53	6009/6009	---M--	200	added ('OK')	image/png	etag:%221779-65392cdb-e534530683fb025e;;;%22	https://scalaa.com/00_global/media/image/brand/favicon.png	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/00_global/media/image/brand/favicon.png	(from https://scalaa.com/home/)
18:25:53	2270/2270	---M-Z	200	added ('OK')	text/css	etag:%228de-65392cd3-58f34b708db20018;gz%22	https://scalaa.com/00_global/css/global.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/00_global/css/global.css	(from https://scalaa.com/home/)
18:25:53	7128/7128	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2023:25:53%20GMT	https://scalaa.com/media/	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/media/index.html	(from )
18:25:53	5341/5341	---M-Z	200	added ('OK')	text/css	etag:%2214dd-65392cd3-16304caa79786321;gz%22	https://scalaa.com/00_global/css/header.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/00_global/css/header.css	(from https://scalaa.com/home/)
18:25:53	2813/2813	---M-Z	200	added ('OK')	text/css	etag:%22afd-65392cd3-15dd121faa7fc4c4;gz%22	https://scalaa.com/00_global/css/footer.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/00_global/css/footer.css	(from https://scalaa.com/home/)
18:25:54	2056/2056	---M-Z	200	added ('OK')	text/css	etag:%22808-65392cd6-e965c56e6a0c72b7;gz%22	https://scalaa.com/home/assets/css/section_1.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/home/assets/css/section_1.css	(from https://scalaa.com/home/)
18:25:54	7145/7145	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2023:25:54%20GMT	https://scalaa.com/contact/	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/contact/index.html	(from )
18:25:54	61864/61864	---M--	200	added ('OK')	image/png	etag:%22f1a8-65392cdb-a67be045c097f10c;;;%22	https://scalaa.com/00_global/media/image/brand/scalaa_logo_horizontal.png	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/00_global/media/image/brand/scalaa_logo_horizontal.png	(from https://scalaa.com/home/)
18:25:54	4266/4266	---M-Z	200	added ('OK')	text/css	etag:%2210aa-6543da3a-80d6638562f00c7e;gz%22	https://scalaa.com/about/assets/css/styles.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/about/assets/css/styles.css	(from https://scalaa.com/about/)
18:25:55	2579/2579	---M-Z	200	added ('OK')	text/css	etag:%22a13-65392cd8-218d4da0c6be5ecc;gz%22	https://scalaa.com/projects/assets/css/layout.css	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/projects/assets/css/layout.css	(from https://scalaa.com/projects/)
18:25:55	450104/450104	---M--	200	added ('OK')	image/webp	etag:%226de38-6543da3b-be0eae766103c6e5;;;%22	https://scalaa.com/about/assets/image/Photo.webp	C:/Users/olive/Desktop/scalaa/scalaa/scalaa.com/about/assets/image/Photo.webp	(from https://scalaa.com/about/)
